RegionId,NpcId,Weight,MinDay,CooldownDays,PoolType,Condition
MossCave,NoviceAdventurer,90,1,1,Normal,
MossCave,Liora,75,1,1,Normal,
MossCave,Sera,80,1,1,Normal,
MossCave,Talia,70,1,1,Normal,
MossCave,Elmar,65,1,1,Normal,
MossCave,Miri,85,1,1,Normal,
MossCave,Hilda,45,1,1,Traveler,
MossCave,Yorn,35,2,1,Traveler,
MossCave,Bram,35,2,1,Traveler,
Volcano,Yorn,90,1,1,Normal,
Volcano,Bram,80,1,1,Normal,
Volcano,Ruk,70,1,1,Normal,
Volcano,Neris,65,1,1,Normal,
Volcano,Hilda,75,1,1,Normal,
Volcano,Kael,55,1,2,Normal,
Volcano,Talia,45,1,1,Traveler,
Volcano,Elmar,30,2,1,Traveler,
Volcano,NoviceAdventurer,25,2,1,Traveler,
