"EventId","NpcId","RegionId","StartGroups","QuestionLimit","AvailableQuestionCategories","EventType","Priority","RepeatMode","CooldownDays","RequiredNpcVisits","RequiredAffinity","RequiredCorrectCount","RequiredLastResult","RequiredEventIds","SequenceGroup","SequenceIndex","CorrectRecipeId","AllowedFoodTypes","RequiredTags","PreferredTags","AvoidTags","DisgustingTags","RequiredRequestState","BlockedAtRequestState","RequestStateAfterEncounter","RequestSuccessResults","RequestStateAfterSuccessResult"
"Odin_FirstVisit","Odin","*","Intro|OrderIntent","1","Taste|TextureTemp|Condition|Avoid","Normal","30","Once","0","0","0","0","","","","0","mushroom_soup_pane","soup","warm","soft|savory|Moist","bleak","sticky","","","","",""
"Odin_FirstVisit_SinceEvent","Odin","*","Intro|OrderIntent","1","Taste|Avoid|TextureTemp","Normal","30","Once","1","1","0","0","Perfect","Odin_FirstVisit","","0","mushroom_soup_pane","soup","warm","soft|savory|Moist","bleak","sticky","","","","",""
"Odin_Normal_DangoCraving","Odin","*","Intro|OrderIntent","1","Taste|TextureTemp|Condition","Normal","10","Cycle","1","1","0","0","","Odin_FirstVisit","","0","slime_nucleus_dango","dessert","sweet","light|savory","bleak","","","","","",""
"Odin_Normal_MushroomSoup","Odin","*","Intro|OrderIntent","1","Taste|TextureTemp|Condition","Normal","10","Cycle","1","1","0","0","","Odin_FirstVisit","","0","mushroom_soup_pane","soup","warm","soft|savory|Moist","bleak","sticky","","","","",""
"Odin_Normal_WarmComfortSoup","Odin","*","Intro|OrderIntent","1","Taste|TextureTemp|Avoid","Normal","10","Cycle","1","1","0","0","","Odin_FirstVisit","","0","corn_cheese_fondue","fondue","warm","soft|savory","bleak","sticky","","","","",""
"Nari_FirstVisit","Nari","MossCave","Intro|OrderIntent","1","Taste|TextureTemp|Condition|Avoid","Normal","30","Once","0","0","0","0","","","","0","slime_nucleus_dango","dessert","sweet","light|savory","bleak","","","","","",""
"Nari_Normal_slime_nucleus_dango","Nari","MossCave","Intro|OrderIntent","1","Taste|TextureTemp|Condition|Avoid","Normal","10","Cycle","1","1","0","0","","Nari_FirstVisit","","0","slime_nucleus_dango","dessert","sweet","light|savory","bleak","","","","","",""
"Nari_Normal_mushroom_soup_pane","Nari","MossCave","Intro|OrderIntent","1","Taste|TextureTemp|Condition|Avoid","Normal","10","Cycle","1","1","0","0","","Nari_FirstVisit","","0","mushroom_soup_pane","soup","warm","soft|savory|Moist","bleak","sticky","","","","",""
"Nari_Memory_Reunion","Nari","MossCave","Intro|OrderIntent","1","Taste|TextureTemp|Condition|Avoid","Normal","20","Once","1","3","0","0","","Nari_FirstVisit|Nari_Normal_slime_nucleus_dango|Nari_Normal_mushroom_soup_pane","","0","corn_cheese_fondue","fondue","warm","soft|savory","bleak","sticky","","","","",""
"Boram_FirstVisit","Boram","MossCave","Intro|OrderIntent","1","Taste|TextureTemp|Condition|Avoid","Normal","30","Once","0","0","0","0","","","","0","corn_cheese_fondue","fondue","warm","soft|savory","bleak","sticky","","","","",""
"Boram_Normal_corn_cheese_fondue","Boram","MossCave","Intro|OrderIntent","1","Taste|TextureTemp|Condition|Avoid","Normal","10","Cycle","1","1","0","0","","Boram_FirstVisit","","0","corn_cheese_fondue","fondue","warm","soft|savory","bleak","sticky","","","","",""
"Boram_Normal_slime_nucleus_dango","Boram","MossCave","Intro|OrderIntent","1","Taste|TextureTemp|Condition|Avoid","Normal","10","Cycle","1","1","0","0","","Boram_FirstVisit","","0","slime_nucleus_dango","dessert","sweet","light|savory","bleak","","","","","",""
"Boram_Memory_Reunion","Boram","MossCave","Intro|OrderIntent","1","Taste|TextureTemp|Condition|Avoid","Normal","20","Once","1","3","0","0","","Boram_FirstVisit|Boram_Normal_corn_cheese_fondue|Boram_Normal_slime_nucleus_dango","","0","mushroom_soup_pane","soup","warm","soft|savory|Moist","bleak","sticky","","","","",""
"Rook_FirstVisit","Rook","MossCave","Intro|OrderIntent","1","Taste|TextureTemp|Condition|Avoid","Normal","30","Once","0","0","0","0","","","","0","mushroom_soup_pane","soup","warm","soft|savory|Moist","bleak","sticky","","","","",""
"Rook_Normal_mushroom_soup_pane","Rook","MossCave","Intro|OrderIntent","1","Taste|TextureTemp|Condition|Avoid","Normal","10","Cycle","1","1","0","0","","Rook_FirstVisit","","0","mushroom_soup_pane","soup","warm","soft|savory|Moist","bleak","sticky","","","","",""
"Rook_Normal_corn_cheese_fondue","Rook","MossCave","Intro|OrderIntent","1","Taste|TextureTemp|Condition|Avoid","Normal","10","Cycle","1","1","0","0","","Rook_FirstVisit","","0","corn_cheese_fondue","fondue","warm","soft|savory","bleak","sticky","","","","",""
"Rook_Memory_Reunion","Rook","MossCave","Intro|OrderIntent","1","Taste|TextureTemp|Condition|Avoid","Normal","20","Once","1","3","0","0","","Rook_FirstVisit|Rook_Normal_mushroom_soup_pane|Rook_Normal_corn_cheese_fondue","","0","slime_nucleus_dango","dessert","sweet","light|savory","bleak","","","","","",""
